open,high,low,close,Volume,Volume MA,Date
93.54,94.39,92.5,94.1,440436.76,569208.6384999965,2022-03-22
94.09,94.15,92.75,92.81,421591.55,576854.5559999966,2022-03-22
92.81,93.33,92.14,92.31,323846.69,568213.0634999967,2022-03-22
92.31,93.93,92.26,93.06,270123.38,530989.9399999967,2022-03-22
93.05,93.88,92.35,92.74,422608.67,528428.3644999966,2022-03-23
92.74,93.41,92.34,92.84,275643.48,516161.6574999968,2022-03-23
92.83,93.73,92.38,93.37,311314.2,514426.7029999968,2022-03-23
93.37,96.64,92.96,95.67,736001.25,537581.0319999967,2022-03-23
95.67,96.37,94.25,94.52,577678.49,534037.2364999967,2022-03-23
94.53,95.37,93.98,94.86,280035.77,522152.76699999673,2022-03-23
94.86,95.59,94.13,94.45,376764.08,519885.59299999673,2022-03-24
94.44,95.36,93.98,95.05,304532.72,519385.3099999967,2022-03-24
95.05,95.77,93.0,93.41,458851.87,504234.6649999967,2022-03-24
93.41,94.4,91.58,94.07,885742.23,510779.4559999967,2022-03-24
94.05,94.8,93.34,93.5,426087.08,496263.9714999967,2022-03-24
93.48,94.46,92.5,93.64,417877.95,483795.7989999967,2022-03-24
93.64,94.41,92.73,92.98,379820.57,457681.1764999967,2022-03-25
92.98,93.9,92.32,92.42,286381.34,451141.3489999967,2022-03-25
92.42,94.02,91.75,93.68,374454.86,437522.6399999967,2022-03-25
93.69,94.9,92.38,92.73,843275.5,440653.4219999967,2022-03-25
92.73,93.28,88.8,90.81,936084.97,465435.8324999968,2022-03-25
90.81,91.16,89.81,90.39,246831.77999999703,456697.8439999966,2022-03-25
90.38,91.08,88.87,89.5,319293.74999999814,456470.19699999655,2022-03-26
89.53,90.58,89.05,90.28,273508.8199999996,456639.4689999965,2022-03-26
90.31,90.69,89.41,89.87,242146.98999999763,447616.3849999964,2022-03-26
89.87,90.84,89.22,90.33,339852.599999999,450826.8409999964,2022-03-26
90.33,91.5,90.07,91.17,345128.2499999978,452517.5434999963,2022-03-26
91.18,91.94,90.54,91.37,275051.80999999825,429470.0714999962,2022-03-26
91.36,92.11,90.72,91.03,286322.039999997,414902.2489999961,2022-03-27
91.05,91.34,90.38,90.85,163390.46999999977,409069.9839999961,2022-03-27
90.85,90.97,90.29,90.5,132688.18000000005,396866.1889999961,2022-03-27
90.49,90.73,89.62,90.6,247580.039999998,394018.554999996,2022-03-27
90.61,90.97,90.0,90.95,178555.02999999982,380003.712999996,2022-03-27
90.95,94.58,90.54,94.12,645764.7999999863,368004.8414999953,2022-03-27
94.11,94.73,92.9,94.49,683764.5699999997,380888.7159999953,2022-03-28
94.49,96.55,94.44,95.49,704173.0700000133,395203.471999996,2022-03-28
95.49,95.66,93.7,93.98,390185.0500000016,395721.695999996,2022-03-28
93.97,95.99,93.44,94.73,875453.6200000136,425175.3099999967,2022-03-28
94.73,101.66,94.56,100.12,1792357.8999998532,496070.4619999893,2022-03-28
100.11,100.61,96.76,97.18,856801.7900000222,496746.7764999904,2022-03-28
97.19,104.44,97.0,103.96,1444620.099999844,522173.5329999825,2022-03-29
103.95,106.37,102.38,102.67,1449831.4699999597,582323.5174999806,2022-03-29
102.66,104.1,102.22,103.42,590254.2899999921,595871.5444999803,2022-03-29
103.43,107.89,102.94,105.88,1795053.8599999289,671948.7964999767,2022-03-29
105.87,109.9,103.8,108.24,1518544.489999953,735768.6714999744,2022-03-29
108.26,109.26,105.84,109.02,776741.769999999,757613.1299999745,2022-03-29
109.03,109.11,104.68,105.94,769627.3399999931,778838.0844999742,2022-03-30
105.94,107.26,105.26,106.44,406649.64999999775,785417.9764999741,2022-03-30
106.45,107.61,105.32,107.1,453014.4199999891,793752.5954999737,2022-03-30
107.1,108.99,103.49,108.62,1041359.659999963,837651.0549999719,2022-03-30
108.62,111.52,107.08,108.02,1154151.2409999797,888724.2080499709,2022-03-30
108.0,108.31,105.17,106.04,476409.3999999972,900165.6760499708,2022-03-30
106.05,108.29,105.62,106.94,405986.82999998966,911537.2660499704,2022-03-31
106.94,107.73,105.88,107.71,313534.15000000194,894925.7335499711,2022-03-31
107.71,108.79,106.89,107.72,410081.9899999988,881241.6045499711,2022-03-31
107.72,108.85,103.28,104.64,952135.3899999738,893639.7205499692,2022-03-31
104.63,105.09,101.5,103.22,734485.6199999728,910854.7490499676,2022-03-31
103.21,104.49,102.41,103.02,286708.3499999985,881417.485549967,2022-03-31
103.02,104.14,98.51,99.88,829600.1300000016,833279.5970499744,2022-04-01
99.89,102.25,99.77,102.13,360977.3800000001,808488.3765499734,2022-04-01
102.12,103.25,101.83,102.21,332037.5899999955,752859.251049981,2022-04-01
102.23,107.2,101.1,106.45,859878.2399999723,723361.5895499816,2022-04-01
106.45,108.0,105.09,105.97,685096.3099999996,728103.690549982,2022-04-01
105.97,106.55,104.55,105.9,306604.7500000016,653681.2350499856,2022-04-01
105.9,108.41,105.56,107.6,556052.0399999842,605556.6125499872,2022-04-02
107.61,109.1,106.97,108.08,312109.70999999624,582325.0095499869,2022-04-02
108.08,113.07,107.93,111.5,901218.9599999682,588904.5905499856,2022-04-02
111.49,113.85,110.08,113.18,946401.3699999972,615892.1765499857,2022-04-02
113.16,115.85,112.5,113.43,1050920.130000017,645787.462049987,2022-04-02
113.44,117.34,113.06,115.18,763452.5599999968,631892.1070499888,2022-04-02
115.16,116.58,112.79,115.06,636689.9599999847,606019.042999989,2022-04-03
115.09,118.09,114.96,116.04,576483.5599999925,611022.7509999888,2022-04-03
116.04,116.05,114.04,114.59,457894.6199999967,613618.1404999893,2022-04-03
114.57,115.57,112.92,113.53,588255.7200000022,627354.2189999892,2022-04-03
113.53,114.47,111.62,112.08,413844.3299999959,627542.3359999892,2022-04-03
112.09,114.94,111.91,112.87,497155.3399999964,604793.3334999902,2022-04-03
112.87,115.65,111.59,114.47,640889.3900000058,600113.5219999918,2022-04-04
114.47,114.88,113.51,114.3,295705.8599999935,600563.3974999917,2022-04-04
114.29,114.59,111.96,113.01,407361.75999999535,579451.4789999914,2022-04-04
113.01,113.49,109.31,110.25,670897.3999999843,594947.4799999906,2022-04-04
110.26,115.65,109.55,115.4,748800.7200000144,615785.6364999914,2022-04-04
115.4,117.7,114.79,116.42,755984.4199999911,610590.9454999923,2022-04-04
116.43,118.56,115.01,115.94,733644.0699999961,613018.3334999923,2022-04-05
115.94,116.9,115.49,116.1,218682.6400000008,608622.2279999922,2022-04-05
116.11,119.36,115.06,118.74,688650.1100000046,615252.1314999933,2022-04-05
118.77,119.55,115.81,115.97,932453.8100000028,646269.3364999935,2022-04-05
115.98,117.28,113.69,115.52,551149.0899999993,628765.8429999951,2022-04-05
115.53,117.47,114.49,116.27,357016.2099999985,599296.5849999952,2022-04-05
116.27,118.11,113.07,116.74,761998.1699999927,584850.4869999939,2022-04-06
116.76,118.34,116.33,117.86,385503.5799999982,565953.037999994,2022-04-06
117.86,117.88,111.17,112.19,894729.5399999947,578855.0169999946,2022-04-06
112.18,112.9,106.93,108.05,1166137.679999987,608337.7229999943,2022-04-06
108.06,110.93,105.53,109.18,1196716.6300000078,645278.8234999948,2022-04-06
109.18,109.87,106.42,108.02,378011.8799999996,634766.6314999947,2022-04-06
108.02,109.64,106.39,108.27,742567.5499999962,651202.7924999946,2022-04-07
108.3,109.35,107.33,108.91,308929.7699999991,641791.5139999948,2022-04-07
108.92,109.25,104.86,106.51,676717.0699999948,643582.8979999942,2022-04-07
106.52,106.88,101.32,103.4,1008800.9299999776,679237.6514999934,2022-04-07
103.4,105.45,102.03,102.03,521080.8299999937,684923.6049999933,2022-04-07
102.04,104.66,100.31,103.52,548613.5799999915,678809.4139999937,2022-04-07
103.5,106.3,103.13,106.24,514806.4099999964,667109.6984999928,2022-04-08
106.23,106.66,101.76,103.37,515804.1399999983,655100.6844999932,2022-04-08
103.36,104.05,99.4,99.7,782434.9599999925,657540.2289999931,2022-04-08
99.73,101.74,97.54,100.19,1080790.5299999726,700645.6234999916,2022-04-08
100.19,100.74,95.6,97.07,894436.2899999969,710934.9324999913,2022-04-08
97.08,97.48,93.16,94.55,820444.8800000037,705334.4859999914,2022-04-08
94.53,95.9,92.12,92.95,604579.2199999946,708005.9924999911,2022-04-09
92.96,95.28,92.75,95.13,368351.1599999983,708572.7399999911,2022-04-09
95.13,95.49,93.71,94.78,270421.06999999617,683993.8849999913,2022-04-09
94.77,96.85,92.81,93.01,548197.6499999955,692128.5884999911,2022-04-09
93.01,94.71,92.85,93.95,264388.6499999983,660611.5439999913,2022-04-09
93.95,97.6,93.86,97.41,420877.03999999975,623348.511999992,2022-04-09
97.41,97.56,95.56,95.96,227466.1300000041,574885.9869999917,2022-04-10
95.96,96.1,94.13,94.23,164207.24999999936,564195.7554999918,2022-04-10
94.23,95.1,93.06,93.79,279214.96999999473,541028.1264999916,2022-04-10
93.79,94.48,92.35,94.23,471138.17000000016,549138.5464999917,2022-04-10
94.24,96.89,93.72,95.78,440914.5099999937,537348.4184999916,2022-04-10
95.78,96.59,91.43,91.85,468021.80999999546,510309.4624999926,2022-04-10
91.85,92.18,86.57,87.99,1067168.9500000095,537613.8684999933,2022-04-11
88.0,89.14,87.24,88.87,415668.5700000035,530966.617999994,2022-04-11
88.88,89.14,84.21,86.46,1102284.0800000066,560340.5014999944,2022-04-11
86.5,87.66,85.43,85.62,793045.2900000092,574202.558999995,2022-04-11
85.62,86.99,84.66,85.8,611907.4600000001,565676.1839999954,2022-04-11
85.79,86.06,80.61,82.52,1022220.2800000062,562747.671499997,2022-04-11
82.51,83.77,81.33,82.49,659429.2499999967,550997.319499997,2022-04-12
82.49,85.48,82.04,84.74,441236.45999999257,532036.8984999964,2022-04-12
84.76,86.64,84.41,86.25,409553.0799999994,522285.5914999967,2022-04-12
86.26,88.4,83.56,84.99,1168758.0299999826,562305.9349999959,2022-04-12
85.0,85.85,82.33,82.52,552649.7099999934,576417.3669999957,2022-04-12
82.52,85.07,82.31,84.62,383188.8999999967,568166.9294999958,2022-04-12
84.62,84.63,84.47,84.48,1667.309999999999,555030.8624999959,2022-04-13
