Date,open,high,low,close,Volume,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend
2022-05-29 12:00:00,2.092,2.211,2.089,2.105,695008.88,2.105,['inverse hammer'],None,0.10655737704917961,0.8688524590163932,0.024590163934427183,2.084,0
2022-05-29 16:00:00,2.105,2.18,2.071,2.076,266704.91,2.076,"['spanning top', 'bearish engulfing', 'shooting star']",None,0.26605504587155887,0.6880733944954146,0.045871559633026554,2.0844,0
2022-05-29 20:00:00,2.076,2.148,2.073,2.122,249216.27,2.122,['bullish engulfing'],None,0.6133333333333295,0.3466666666666691,0.04000000000000142,2.0773,0
2022-05-30 00:00:00,2.122,2.35,2.1,2.244,701430.73,2.244,[],None,0.4880000000000013,0.4239999999999995,0.08799999999999919,2.0776499999999998,0
2022-05-30 04:00:00,2.244,2.32,2.194,2.288,975628.32,2.288,['three white soldiers'],None,0.3492063492063463,0.2539682539682544,0.3968253968253993,2.0864,0
2022-05-30 08:00:00,2.288,2.345,2.21,2.245,1100598.57,2.245,[],None,0.3185185185185158,0.42222222222222433,0.25925925925925986,2.09335,0
2022-05-30 12:00:00,2.245,2.305,2.182,2.233,753604.34,2.233,['spanning top'],None,0.097560975609756,0.48780487804878003,0.41463414634146395,2.1018999999999997,0
2022-05-30 16:00:00,2.233,2.272,2.214,2.238,333037.29,2.238,[],None,0.08620689655172255,0.5862068965517225,0.3275862068965549,2.11125,0
2022-05-30 20:00:00,2.238,2.374,2.228,2.303,857287.72,2.303,[],None,0.4452054794520547,0.4863013698630152,0.06849315068493009,2.1234,0
2022-05-31 00:00:00,2.306,2.369,2.261,2.322,553751.72,2.322,['spanning top'],None,0.14814814814814814,0.43518518518518623,0.41666666666666563,2.1354499999999996,0
2022-05-31 04:00:00,2.321,2.365,2.237,2.254,574626.82,2.254,[],None,0.5234375000000009,0.34375,0.13281249999999914,2.1479500000000002,0
2022-05-31 08:00:00,2.253,2.299,2.241,2.27,453978.3,2.27,['spanning top'],None,0.29310344827586127,0.5,0.20689655172413873,2.1596,0
2022-05-31 12:00:00,2.271,2.3,2.146,2.264,809078.45,2.264,[],None,0.04545454545454624,0.18831168831168787,0.7662337662337659,2.16965,0
2022-05-31 16:00:00,2.263,2.297,2.178,2.202,623342.39,2.202,[],None,0.5126050420168053,0.2857142857142873,0.20168067226890737,2.1782,1
2022-05-31 20:00:00,2.2,2.245,2.171,2.221,192617.11,2.221,['spanning top'],None,0.28378378378378144,0.32432432432432334,0.3918918918918952,2.1848,1
2022-06-01 00:00:00,2.224,2.245,2.177,2.184,266670.21,2.184,"['bearish engulfing', 'dark cloud cover']",None,0.5882352941176471,0.30882352941176305,0.10294117647058987,2.1904,1
2022-06-01 04:00:00,2.181,2.2,2.15,2.164,306906.16,2.164,['spanning top'],sell,0.33999999999999625,0.38000000000000056,0.2800000000000032,2.19485,1
2022-06-01 08:00:00,2.165,2.218,2.157,2.19,223677.88,2.19,['spanning top'],None,0.4098360655737694,0.4590163934426238,0.1311475409836068,2.2026,1
2022-06-01 12:00:00,2.19,2.231,2.058,2.079,738052.97,2.079,['bearish engulfing'],None,0.6416184971098251,0.2369942196531787,0.12138728323699623,2.20465,1
2022-06-01 16:00:00,2.08,2.094,2.009,2.046,761724.62,2.046,[],sell,0.40000000000000313,0.1647058823529388,0.4352941176470581,2.2025,1
2022-06-01 20:00:00,2.048,2.054,1.972,2.044,401642.58,2.044,[],None,0.04878048780487818,0.07317073170731456,0.8780487804878072,2.1994499999999997,1
2022-06-02 00:00:00,2.047,2.047,2.0,2.004,216198.38,2.004,[],None,0.9148936170212768,0.0,0.08510638297872321,2.19585,1
2022-06-02 04:00:00,2.005,2.1,1.976,2.064,291404.37,2.064,[],None,0.47580645161290414,0.2903225806451613,0.23387096774193458,2.19295,1
2022-06-02 08:00:00,2.064,2.09,2.032,2.081,276950.75,2.081,"['spanning top', 'hammer']",None,0.29310344827586127,0.15517241379310212,0.5517241379310366,2.1848,1
2022-06-02 12:00:00,2.081,2.082,2.0,2.064,429144.88,2.064,"['spanning top', 'hanging man']",None,0.20731707317073092,0.01219512195121819,0.7804878048780509,2.1736,1
2022-06-02 16:00:00,2.064,2.089,2.037,2.065,268468.61,2.065,[],None,0.019230769230767095,0.46153846153846156,0.5192307692307714,2.1646,1
2022-06-02 20:00:00,2.065,2.16,2.06,2.14,169797.3,2.14,['morning star'],None,0.7500000000000011,0.2,0.04999999999999889,2.15995,1
2022-06-03 00:00:00,2.141,2.178,2.11,2.151,127878.65,2.151,['spanning top'],buy,0.1470588235294085,0.3970588235294134,0.4558823529411781,2.1556,1
2022-06-03 04:00:00,2.151,2.165,2.081,2.096,200426.32,2.096,['bearish engulfing'],None,0.6547619047619008,0.16666666666666932,0.17857142857142988,2.14525,1
2022-06-03 08:00:00,2.094,2.108,2.003,2.037,378289.15,2.037,[],sell,0.5428571428571424,0.13333333333333558,0.32380952380952205,2.1310000000000002,1
2022-06-03 12:00:00,2.037,2.071,2.004,2.016,395562.38,2.016,"['three black crows', 'spanning top', 'shooting star']",None,0.3134328358208933,0.5074626865671666,0.17910447761194,2.1191,0
2022-06-03 16:00:00,2.014,2.024,1.932,1.956,748594.22,1.956,['three black crows'],None,0.6304347826086932,0.10869565217391546,0.2608695652173913,2.1033999999999997,0
2022-06-03 20:00:00,1.955,1.992,1.934,1.957,537626.16,1.957,[],None,0.034482758620689655,0.6034482758620671,0.36206896551724327,2.08805,0
2022-06-04 00:00:00,1.958,2.007,1.863,1.865,434914.76,1.865,['bearish engulfing'],None,0.6458333333333326,0.34027777777777857,0.013888888888888888,2.0712,0
